,Média,Desvio Padrão,Limite inferior,Limite Superior
decisionTree,0.948888888888889,0.05072316538005923,0.9307381707991292,0.9670396069786488
randomForest,0.9555555555555556,0.04331908597692872,0.9400543045673354,0.9710568065437758
knnDistance,0.9511111111111112,0.0484831649539365,0.9337619521502201,0.9684602700720024
knn,0.9444444444444444,0.054659439449994844,0.9248851746518858,0.964003714237003
kMeansCentroids,0.951111111111111,0.05691665988829198,0.9307441202006964,0.9714781020215256
kGA,0.8866666666666667,0.08969082698049141,0.8545718061909379,0.9187615271423956
decisionTree,0.9004357298474945,0.06324878022598533,0.8778028604119772,0.9230685992830119
randomForest,0.9754901960784312,0.03497139226590734,0.9629760740304718,0.9880043181263907
knnDistance,0.9605664488017429,0.038932650843874664,0.9466348346238939,0.974498062979592
knn,0.9625272331154684,0.044302713052932395,0.9466740021664507,0.9783804640644861
kMeansCentroids,0.9684095860566448,0.03715858563283513,0.9551128012960286,0.9817063708172611
kGA,0.9661220043572984,0.031577076291889127,0.9548225003618669,0.97742150835273
decisionTree,0.9233082706766916,0.030183489039831115,0.9125074463112882,0.934109095042095
randomForest,0.9607351712614869,0.028575977838685703,0.9505095768214934,0.9709607657014804
knnDistance,0.9683897243107769,0.022372654801763613,0.9603839197206326,0.9763955289009211
knn,0.9683375104427736,0.022010820309932847,0.9604611842833851,0.9762138366021621
kMeansCentroids,0.9572890559732664,0.03127484296674826,0.9460977027969105,0.9684804091496223
kGA,0.931453634085213,0.028822668076734132,0.9211397642993737,0.9417675038710522
decisionTree,0.8564111318021932,0.024409164917031094,0.8476765848176775,0.8651456787867089
randomForest,0.975148975791434,0.012970469728430392,0.9705076380955603,0.9797903134873077
knnDistance,0.9771880819366853,0.009662224716470689,0.9737305627610876,0.9806456011122829
knn,0.9762600869025451,0.010639199767048683,0.972452968119137,0.9800672056859532
kMeansCentroids,0.9513945789364784,0.012778414987245294,0.946821965884245,0.9559671919887117
kGA,0.901127663976826,0.02159587974445588,0.8933998196633859,0.9088555082902661
