,Média,Desvio Padrão,Limite inferior,Limite Superior
decisionTree,0.948888888888889,0.05072316538005923,0.9307381707991292,0.9670396069786488
randomForest,0.9555555555555556,0.04331908597692872,0.9400543045673354,0.9710568065437758
knnDistance,0.9511111111111112,0.0484831649539365,0.9337619521502201,0.9684602700720024
knn,0.9444444444444444,0.054659439449994844,0.9248851746518858,0.964003714237003
kMeansCentroids,0.951111111111111,0.05691665988829198,0.9307441202006964,0.9714781020215256
kGA,0.8866666666666667,0.08969082698049141,0.8545718061909379,0.9187615271423956
decisionTree,0.9004357298474945,0.06324878022598533,0.8778028604119772,0.9230685992830119
randomForest,0.9754901960784312,0.03497139226590734,0.9629760740304718,0.9880043181263907
knnDistance,0.9605664488017429,0.038932650843874664,0.9466348346238939,0.974498062979592
knn,0.9625272331154684,0.044302713052932395,0.9466740021664507,0.9783804640644861
kMeansCentroids,0.9684095860566448,0.03715858563283513,0.9551128012960286,0.9817063708172611
kGA,0.9661220043572984,0.031577076291889127,0.9548225003618669,0.97742150835273
